"id","elite_player","opponent","match_tournament","year","surface","set_score","game_score","point_score","pressure_trigger","timestamp","source_link","clip_file_name","player_to_analyze","server_if_known","uploader_note","serve_or_return","point_outcome","first_serve_in","rally_length","primary_pattern","aggression_level","risk_decision","shot_that_decided_point","error_or_winner_type","reset_behavior","body_language_note","tactical_principle","coaching_takeaway","tags","confidence_level","ai_notes","review_status","reviewer_correction","approved_for_library","point_pattern_family","pattern_hierarchy"
"ELITE-011","Roger Federer","Rafael Nadal","Australian Open","2017","Hard","1-0","30-30","","30-30","00:09:12","https://youtu.be/FiLk_kPsrpY?si=pQJJVe-m_-h-HgSA","ELITE-011_Federer_Nadal_AustralianOpen2017_30-30","Roger Federer","Rafael Nadal","","Return","Federer wins the 30-30 return point and creates break-point pressure","No","13","Federer returns Nadal’s second serve, holds a compact baseline position, takes time away with early contact and depth, then finishes the pattern with a forehand down-the-line winner.","Medium-High","Controlled return aggression; Federer uses early contact and depth to pressure Nadal, then takes the down-the-line forehand when the opening appears.","Federer forehand down-the-line winner","Federer forehand down-the-line winner","Federer gives a small fist pump after winning the point.","Composed posture with a brief fist pump; controlled emotional response after winning the return pressure point.","On a 30-30 return point, Federer treats the second serve as an entry point for pressure, uses compact baseline positioning to take time away, and finishes with a forehand down the line.","Against a second serve at 30-30, step in mentally and physically: return deep, hold court position, and take the down-the-line forehand when the court opens.","[""Federer"",""Nadal"",""Australian Open 2017"",""hard court"",""30-30"",""return point"",""second serve"",""baseline pressure"",""early contact"",""forehand down the line"",""forehand winner""]","High","Corrected after human review: the shot that decided the point was a Federer forehand down-the-line winner against Nadal. Original first-serve classification detail: No — second serve point.","Reviewed","Human corrected: Federer hit a forehand down-the-line winner against Nadal.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Federer returns Nadal’s second serve, holds a compact baseline position, takes time away with early contact and depth, then finishes the pattern with a forehand down-the-line winner."
"ELITE-012","Roger Federer","Andy Murray","Wimbledon","2015","Grass","5-4","40-AD","","Advantage In","01:17:16","https://youtu.be/jw8EOvLme3M?si=3WDZKJqP7dHRN6aA","ELITE-012_Federer_Murray_Wimbledon2015_AD in","Roger Federer","Andy Murray","","Return","Federer wins the return point from Murray advantage and brings the game back to deuce","Yes","13","Federer absorbs Murray’s first serve, gets into the rally, and uses a backhand down the line to change direction and move Murray into a forced error.","Medium-High","Controlled baseline aggression; Federer does not force the return, then uses the backhand down the line to redirect the rally and pressure Murray without needing a low-margin winner.","Federer backhand down the line","Murray forced error after Federer backhand down the line","Federer turns and walks back calmly after the point with no large celebration visible.","Balanced posture after the exchange; composed movement after bringing the game back to deuce.","With Murray at advantage, Federer neutralizes the first serve and changes direction with the backhand down the line to force the error and return the game to deuce.","On return points against opponent game point, neutralize first, then use a controlled change of direction to move the server and force the error.","[""Federer"",""Murray"",""Wimbledon"",""grass"",""advantage in"",""return point"",""first serve in"",""13-shot rally"",""backhand down the line"",""Murray forced error"",""back to deuce""]","High","Corrected after human review: Murray had advantage, so Federer won the return point to bring the game back to deuce. Federer used a backhand down the line to move Murray into a forced error.","Reviewed","Human corrected: Federer hit a backhand down the line to move Murray into a forced error; Murray had advantage, so Federer brought it back to deuce.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Federer absorbs Murray’s first serve, gets into the rally, and uses a backhand down the line to change direction and move Murray into a forced error."
"ELITE-013","Carlos Alcaraz","Karen Khachanov","Qatar Open","2026","Hard","5-4","40-40","","Deuce","00:01:14","https://youtu.be/Puszgo5ytDs?si=zrKRwrO5SdgNPpD2","ELITE-013_Alcaraz_Khachanov_Doha2026_Deuce","Carlos Alcaraz","Karen Khachanov","","Return","Alcaraz wins the return point from deuce and moves to advantage/break opportunity","Yes","4","Alcaraz returns the serve without forcing the first ball, then recognizes the next opportunity and uses a short backhand passing shot to finish. The point shows return-plus-one pressure used only once the opening appears.","High","Controlled return-plus-one aggression; Alcaraz does not overforce the return, but immediately takes the available attacking chance with touch and placement.","Alcaraz short backhand passing-shot winner","Alcaraz backhand passing-shot winner","Alcaraz resets calmly after the short point; no large celebration is clearly visible in the clip.","Forward/alert court posture after recognizing the opening; composed reset after the winner.","Under deuce pressure on return, Alcaraz shows that return-plus-one can be a viable pressure option when the server gives him the opening, but the attack is not forced from a neutral position.","On pressure return points, neutralize first. If the next ball creates space or brings the opponent forward, step in and use the pass or soft finish with control rather than trying to blast close to the lines.","[""Alcaraz"",""Khachanov"",""Qatar Open 2026"",""hard court"",""deuce"",""return point"",""return-plus-one"",""short backhand pass"",""passing-shot winner"",""controlled aggression"",""pressure opportunity""]","High","Corrected after human review: the deciding shot was a short Alcaraz backhand passing-shot winner. Pattern remains: he does not force the return, but uses the available return-plus-one opportunity under pressure. Original first-serve classification detail: Appears yes — no fault sequence visible in the short clip.","Reviewed","Human corrected: Alcaraz hit a short backhand passing-shot winner.","True","Early Initiative / First-Strike Dictation","Early Initiative / First-Strike Dictation → Alcaraz returns the serve without forcing the first ball, then recognizes the next opportunity and uses a short backhand passing shot to finish. The point shows return-plus-one pressure used only once the opening appears."
"ELITE-014","Rafael Nadal","Daniil Medvedev","US Open","2019","Hard","5-5","40-30","","40-30","00:08:08","https://youtu.be/EUg8fcKFXuM?si=io-Jx3Q87a5UIeOr","ELITE-014_Nadal_Medvedev_USOpen2019_40-30","Rafael Nadal","Rafael Nadal","","Serve","Nadal wins the 40-30 service point","No","5","Nadal uses the serve to start the point, then takes the first usable attacking opportunity to move forward. Rather than extending into a neutral rally, he follows the advantage into the forecourt and finishes with controlled net play.","Medium-High","Controlled serve-plus-one/serve-plus-two aggression; Nadal builds from a safe serve pattern, then moves forward when Medvedev is stretched rather than forcing a low-percentage shot too early.","Nadal forehand volley / net finish","Nadal forehand volley winner","Nadal resets without a major celebration visible in the short clip.","Composed posture after finishing; controlled movement after the point.","On a 40-30 service point, Nadal uses the serve to create the first opening, then moves forward only once the opportunity is available.","Under pressure, serve-plus-one or serve-plus-two is effective when it comes from a real advantage. Use the serve to create space, recognize the short ball, and finish forward without forcing too early.","[""Nadal"",""Medvedev"",""US Open 2019"",""hard court"",""40-30"",""serve point"",""second serve"",""serve-plus-one"",""serve-plus-two"",""net finish"",""forehand volley"",""controlled aggression""]","Medium","Draft analysis: short pressure point showing Nadal using a serve-created opportunity to move forward and finish rather than forcing immediately. Review final shot classification if needed. Original first-serve classification detail: No — second serve point / serve speed suggests second serve.","Reviewed","User said the pattern recognition looks good; no correction provided for ELITE-014.","True","Early Initiative / First-Strike Dictation","Early Initiative / First-Strike Dictation → Nadal uses the serve to start the point, then takes the first usable attacking opportunity to move forward. Rather than extending into a neutral rally, he follows the advantage into the forecourt and finishes with controlled net play."
"ELITE-015","Roger Federer","Marin Cilic","Australian Open","2018","Hard","3-4","0-30","","0-30","00:12:47","https://youtu.be/hPWj01Q1Jx0?si=1g-boiCtpCS-OgI3","ELITE-015_Federer_Cilic_AustralianOpen2018_0-30","Roger Federer","Roger Federer","","Serve","Federer wins the 0-30 service point and moves the game to 15-30","Yes","3","Federer uses the serve to create an immediate first-ball opportunity, then attacks with a cross-court backhand into the open court. The point stays short because Federer recognizes the serve-created opening and uses it without forcing from a neutral rally.","High","Controlled first-strike aggression; Federer is under 0-30 pressure but uses the serve-plus-one only after the return gives him an attackable ball.","Federer cross-court backhand into the open court","Federer backhand winner","Federer turns and resets calmly after the short point; no large celebration visible in the clip.","Composed posture after executing the first-strike pattern.","Under 0-30 pressure, Federer shows that serve-plus-one can be used safely when the serve creates the opening; he does not force the attack before the ball is there.","On pressure service points, use the serve to create a first-strike opportunity, then take the open-court backhand or forehand only when the return gives you the ball to attack.","[""Federer"",""Cilic"",""Australian Open 2017"",""hard court"",""0-30"",""serve point"",""first serve in"",""serve-plus-one"",""cross-court backhand"",""open court"",""backhand winner"",""first-strike tennis""]","High","Corrected after human review: Federer used a cross-court backhand into the open court, not a forehand. Pattern remains serve-created first-strike pressure used when the opportunity appears.","Reviewed","Human corrected: Federer used a cross-court backhand into the open court.","True","Early Initiative / First-Strike Dictation","Early Initiative / First-Strike Dictation → Federer uses the serve to create an immediate first-ball opportunity, then attacks with a cross-court backhand into the open court. The point stays short because Federer recognizes the serve-created opening and uses it without forcing from a neutral rally."
"ELITE-016","Jannik Sinner","Novak Djokovic","Roland Garros","2025","Clay","4-3","15-30","","15-30","00:47:30","https://youtu.be/Z7-DF9iIktw?si=i0rMBcPkFCEPKxU1","ELITE-016_Sinner_Djokovic_RolandGarros2025_15-30","Jannik Sinner","Jannik Sinner","","Serve","Sinner wins the point and moves the game from 15-30 to 30-30","No","17","Sinner plays the second-serve pressure point with persistent rally tolerance, using pace, depth, and margin to sustain pressure without forcing an early attack. Djokovic eventually attempts a drop shot to end the exchange, but Sinner recognizes it, tracks it down, and finishes with a backhand winner.","Medium-High","Controlled opportunity-based aggression; Sinner maintains safe pace and depth while the point is neutral, then reacts decisively when Djokovic changes the pattern with the drop shot.","Sinner backhand winner after tracking down Djokovic's drop shot","Sinner backhand winner","The clip ends quickly after the point; a full reset routine is not clearly visible.","Persistent and balanced through the rally; immediate forward reaction when Djokovic plays the drop shot.","Strong rally tolerance can pressure the opponent into attempting a premature finishing option. Sinner stays stable, anticipates the pattern change, and converts defense into a winner.","Stay committed to pace and depth while the point is neutral. When the opponent tries to escape with a drop shot or short ball, recognize it quickly, move forward, and finish decisively.","[""Sinner"",""Djokovic"",""Roland Garros 2025"",""clay"",""15-30"",""second serve"",""17-shot rally"",""rally tolerance"",""pace"",""depth"",""controlled aggression"",""drop-shot retrieval"",""backhand winner""]","High","Human-reviewed: Djokovic attempted a drop shot after Sinner's sustained pressure. Sinner tracked it down and finished with a backhand winner.","Reviewed","Human corrected the ending: Djokovic drop shot; Sinner tracks it down and hits a backhand winner.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Sinner plays the second-serve pressure point with persistent rally tolerance, using pace, depth, and margin to sustain pressure without forcing an early attack. Djokovic eventually attempts a drop shot to end the exchange, but Sinner recognizes it, tracks it down, and finishes with a backhand winner."
"ELITE-017","Novak Djokovic","Stan Wawrinka","Australian Open","2015","Hard","0-0","15-30","","15-30","00:35:41","https://youtu.be/auydaeebTPg?si=MpJrYU2SthjZtfSR","ELITE-017_Djokovic_Wawrinka_AustralianOpen2015_15-30","Novak Djokovic","Stan Wawrinka","","Return","Djokovic wins the return point","No","20","Djokovic neutralizes Wawrinka's second serve and settles into a long exchange. He absorbs pace and repeatedly applies sustained depth and precision with safe targets, making Wawrinka continue hitting under movement pressure until Wawrinka misses the forehand.","Medium","Controlled low-to-medium-risk pressure; Djokovic avoids chasing the lines and attacks through repeatable depth, precision, and directional control.","Djokovic's sustained deep and precise pressure that stretches Wawrinka into the final forehand error","Wawrinka forced forehand error","Djokovic gives a small, controlled fist gesture and turns back toward the court.","Stable posture throughout the rally; no visible urgency to end the exchange prematurely.","Djokovic attacks through accumulation: depth, precision, and repeated demanding balls gradually reduce the opponent's available margin.","Against a powerful hitter, do not assume you must hit harder or closer to the lines. Use sustained depth and precise safe targets until the opponent is forced into a difficult final shot.","[""Djokovic"",""Wawrinka"",""Australian Open 2015"",""hard court"",""return point"",""second serve"",""20-shot rally"",""rally tolerance"",""sustained depth"",""precision"",""safe targets"",""forced forehand error""]","High","Human-reviewed: Wawrinka's final error is from the forehand side, caused by Djokovic's sustained depth and precision.","Reviewed","Human corrected the final error side: Wawrinka forced forehand error.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Djokovic neutralizes Wawrinka's second serve and settles into a long exchange. He absorbs pace and repeatedly applies sustained depth and precision with safe targets, making Wawrinka continue hitting under movement pressure until Wawrinka misses the forehand."
"ELITE-018","Jannik Sinner","Casper Ruud","Rome Masters","2026","Clay","0-2","15-40","","Break Point","00:00:30","https://youtu.be/cjCU6WbXekk?si=5ipgrRalD9AH5w-V","ELITE-018_Sinner_Ruud_Rome2026_BreakPoint","Jannik Sinner","Casper Ruud","","Return","Sinner wins the point and converts the break point","Yes","13","Sinner neutralizes Ruud's first serve and builds controlled pressure through pace, depth, margin, and direction. He remains stable rather than forcing an early attack, then recognizes the opening and accelerates a backhand down the line for a clean winner.","Medium-High","Controlled opportunity-based aggression; Sinner uses safe rally tolerance to create the opening, then changes direction decisively when the down-the-line opportunity becomes available.","Sinner backhand down-the-line winner","Sinner backhand winner","Sinner gives a restrained fist pump after converting the break point.","Composed through the rally; controlled but firm reaction after the winner.","Margin-based rally tolerance creates the opportunity; controlled aggression converts it. Sinner does not force the down-the-line attack early but uses it immediately when Ruud's position opens the court.","Under break-point pressure, first establish control with depth and margin. When the opponent's court position creates a clear lane, change direction confidently and attack the open space.","[""Sinner"",""Ruud"",""Rome 2026"",""clay"",""break point"",""first-serve return"",""13-shot rally"",""rally tolerance"",""controlled aggression"",""margin"",""change of direction"",""backhand down the line"",""winner""]","High","Human-reviewed: Sinner finished the point with a backhand down-the-line winner after his controlled rally pressure created the opening.","Reviewed","Human corrected the ending: Sinner recognized the opening and hit a backhand down-the-line winner.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Sinner neutralizes Ruud's first serve and builds controlled pressure through pace, depth, margin, and direction. He remains stable rather than forcing an early attack, then recognizes the opening and accelerates a backhand down the line for a clean winner."
"ELITE-019","Rafael Nadal","Juan Martín del Potro","Wimbledon","2018","Grass","1-2","40-30","","40-30","00:15:35","https://youtu.be/S5LVbZUgM48?si=IiVOGdkXAeWyCRpt","ELITE-019_Nadal_Delpotro_Wimbledon2018_40-30","Rafael Nadal","Juan Martín del Potro","","Return","Nadal wins the point, bringing the game from 40-30 to deuce","No","6","Nadal neutralizes Del Potro's second serve without forcing the return. He uses the next ball to remain stable and improve court position, then recognizes the opening on his return + 2 and accelerates a forehand cross-court into the open court.","Medium-High","Controlled opportunity-based aggression; Nadal does not try to win directly from the return. He builds through the first follow-up ball and attacks only when Del Potro's position creates a clear target.","Nadal return + 2 forehand cross-court into the open court","Nadal forehand winner","Nadal turns back toward the court calmly after winning the point; no large celebration is clearly visible.","Balanced during the first two return phases, then decisive rotation and commitment on the final forehand.","A pressure return pattern does not have to end with the return itself. Nadal neutralizes first, uses one additional ball to develop the advantage, and converts the opening with return + 2 aggression.","On a second-serve return at a pressure score, do not force the immediate return winner. Neutralize the serve, use the next ball to gain position, and attack decisively if the second follow-up ball opens the court.","[""Nadal"",""Del Potro"",""Wimbledon 2018"",""grass"",""40-30"",""second-serve return"",""6-shot point"",""return plus two"",""controlled aggression"",""forehand cross-court"",""open-court winner""]","High","Human-reviewed return + 2 pattern: Nadal does not overplay the return or first follow-up ball; he waits until the opening is established, then finishes with a forehand cross-court winner.","Reviewed","Approved return + 2 analysis.","True","Early Initiative / First-Strike Dictation","Early Initiative / First-Strike Dictation → Nadal neutralizes Del Potro's second serve without forcing the return. He uses the next ball to remain stable and improve court position, then recognizes the opening on his return + 2 and accelerates a forehand cross-court into the open court."
"ELITE-020","Novak Djokovic","Dominic Thiem","Australian Open","2020","Hard","0-1","30-30","","30-30","00:18:36","https://youtu.be/EQucR_Z3wtw?si=l895j4_vi5iiKLu2","ELITE-020_Djokovic_Thiem_AustralianOpen2020_30-30","Novak Djokovic","Dominic Thiem","","Return","Djokovic wins the point from 30-30 and earns break point at 30-40","Yes","22","Djokovic neutralizes Thiem's first serve and stays solid through the extended baseline exchange, using pace, depth, direction, and substantial margin away from the lines. Once Thiem is held deep, Djokovic recognizes the open short court, changes depth with a drop shot, follows it forward, reads Thiem's defensive reply, and finishes with a backhand volley into the open court.","Medium-High","Controlled opportunity-based aggression; Djokovic remains patient and uses safe targets while the rally is neutral. He attacks only after the sustained depth creates a genuine short-court opportunity, then continues forward rather than assuming the drop shot will end the point.","Djokovic backhand volley into the open court after the drop shot and Thiem's defensive reply","Djokovic backhand-volley winner","The clip ends shortly after the finish; a full between-point reset routine is not clearly visible.","Stable and patient throughout the long rally, followed by decisive forward movement after the drop shot and controlled positioning for the finishing volley.","Djokovic combines three layers of pressure: high-margin rally tolerance, a change of depth with the drop shot, and a forward finish when the opponent retrieves it.","Stay solid with pace, depth, and margin while the point is neutral. When the opponent is pushed deep, use the open short court, follow the drop shot forward, and be ready to finish the defensive reply.","[""Djokovic"",""Thiem"",""Australian Open 2020"",""hard court"",""30-30"",""first-serve return"",""22-shot rally"",""rally tolerance"",""safe margin"",""controlled aggression"",""depth change"",""drop shot"",""forward transition"",""backhand volley winner""]","High","Human-reviewed final sequence: Djokovic plays the drop shot; Thiem reaches it and sends back a defensive reply; Djokovic closes the net and finishes with a backhand volley into the open court.","Reviewed","Corrected after detailed review: drop shot, Thiem defensive reply, Djokovic backhand-volley winner.","True","Sustained Pressure / Controlled Construction","Sustained Pressure / Controlled Construction → Djokovic neutralizes Thiem's first serve and stays solid through the extended baseline exchange, using pace, depth, direction, and substantial margin away from the lines. Once Thiem is held deep, Djokovic recognizes the open short court, changes depth with a drop shot, follows it forward, reads Thiem's defensive reply, and finishes with a backhand volley into the open court."
